profile,group,memo_len,memo_chunks,hash_inputs,poseidon_permutations,memo_inputs,plain_inputs,total_memo_bytes,total_poseidon_permutations,control,sample_count,total_iters,mean_ns,mean_se_ns,mean_ci_lo_ns,mean_ci_hi_ns,median_ns,median_abs_dev_ns,std_dev_ns,slope_ns,min_iter_ns,max_iter_ns,rel_std_dev
shakedown,zswap_memo_aggregate,,,,,0,,0,0,,50,64650150.0,15.403176565836947,0.03226755627672185,15.344195169029739,15.470310314580962,15.301935997054919,0.062353349476686096,0.23020717216566197,15.496926261065623,15.232664773399598,16.295724371869206,0.014945434870638544
shakedown,zswap_memo_aggregate,,,,,1,,1,2,,50,14025.0,75751.918066237,140.39346118272928,75494.62705926628,76043.34027423586,75550.1632231405,703.2946681046818,1003.3874629868625,75821.96900937153,74356.06293706293,79534.09090909091,0.013245703720789046
shakedown,zswap_memo_aggregate,,,,,2,,32,4,,50,7650.0,151599.75623525705,316.0808051938982,151014.92816969447,152252.743009929,151200.11743589744,1373.6714731722852,2256.598461842491,153031.48432537372,148468.75,159281.56818181818,0.014885238062920324
shakedown,zswap_memo_aggregate,,,,,16,,2100,60,,50,1275.0,1551462.7715627246,13995.321621252104,1527419.710055461,1581747.9143952895,1510575.6800000002,17712.825394560357,99475.15746827271,1549954.1141758882,1494571.625,1982502.4705882352,0.06411701221040288
shakedown,zswap_memo_control,0,,,,,,,,absent_statement_value,50,67896300.0,14.207604282122707,0.02532073330093167,14.161105309203652,14.260243429658024,14.150526197672038,0.10958528740716515,0.1805810192212114,14.223312963743208,14.022106629276314,14.907102080673026,0.012710166727295098
shakedown,zswap_memo_control,0,,,,,,,,timer_floor,50,2521636350.0,0.4082770918535298,0.0021219191212887146,0.40390752424739135,0.4121766737401309,0.41267338682635035,0.008536330098383685,0.015162092939551444,0.40953912032730516,0.3630154999776803,0.4287139637977002,0.037136771183309186
shakedown,zswap_memo_control,0,,,,,,,,transient_hash_anchor,50,30600.0,33477.24172047232,67.73358137432595,33348.54982295271,33613.550071467704,33426.848994755244,419.23416073999823,484.20113411599834,33399.78748495438,32627.48214285714,34947.916666666664,0.014463591061622472
shakedown,zswap_memo_statement,1,1,3,2,,,,,,50,14025.0,75631.03299133276,134.9517767747484,75385.75428877612,75914.4608716199,75338.46121933623,516.8819345103882,962.8493845516697,75642.66013871976,74669.31818181818,79202.77777777778,0.01273087708139609
shakedown,zswap_memo_statement,2,1,3,2,,,,,,50,12750.0,79080.38662432568,195.39268844854908,78717.62934419393,79483.36585038675,78534.89574468085,840.6096399042601,1393.8193878709053,79249.54989866045,77610.4,83241.17647058824,0.01762534867833027
shakedown,zswap_memo_statement,30,1,3,2,,,,,,50,12750.0,81217.70896607918,262.68114707866755,80724.7342566102,81754.10726354441,80837.9928030303,1637.497915552427,1868.258347281542,80665.17359813629,78688.34897959184,87027.4088888889,0.023003090964580468
shakedown,zswap_memo_statement,31,1,3,2,,,,,,50,12750.0,101969.06861394978,3749.0274754916218,95275.88303386842,109895.70944222873,92603.53190476191,15859.710896712266,26782.372836733663,95961.59967850902,79518.94761904761,217412.5,0.2626519316179154
shakedown,zswap_memo_statement,32,2,4,2,,,,,,50,14025.0,76689.64141291479,177.4895685875526,76372.45923266908,77067.65124534018,76650.43299465241,508.8351029128885,1268.5081175852179,76377.35875046329,73877.7012987013,82919.7,0.016540801263566697
shakedown,zswap_memo_statement,33,2,4,2,,,,,,50,12750.0,77876.78495962826,122.68848756482808,77635.73745776936,78115.38647503623,77777.60267857143,880.9447078895178,883.0395646652761,77895.29395224228,75459.375,79391.07142857143,0.011338931943878378
shakedown,zswap_memo_statement,61,2,4,2,,,,,,50,14025.0,75868.80031717377,133.77347178414433,75614.06429126866,76136.74203951535,75807.34331550801,1153.1434052193156,953.7956105890046,76128.02250013237,74578.03636363636,78424.71590909091,0.012571644821080717
shakedown,zswap_memo_statement,62,2,4,2,,,,,,50,12750.0,77254.46202478016,314.1975692614121,76669.42697509922,77899.76005310261,77102.8951863354,1897.6188975198245,2241.52216108587,76521.17667792662,73758.85,84404.2,0.029014792185943623
shakedown,zswap_memo_statement,63,3,5,3,,,,,,50,12750.0,87016.59169451216,261.1178701733234,86539.89513161955,87561.76889951949,86359.13274509805,1098.3984866646317,1864.6285460406418,86904.98171694817,85340.10416666667,94245.13333333333,0.0214284254270354
shakedown,zswap_memo_statement,64,3,5,3,,,,,,50,12750.0,86843.02819078801,269.49669629938916,86359.6633404666,87410.70878790067,86119.64285714286,827.1720890647582,1924.676406368255,86377.88008153757,85202.075,94727.88461538461,0.022162704899463852
shakedown,zswap_memo_statement,92,3,5,3,,,,,,50,12750.0,87078.14375700071,251.21583438825928,86620.43414840788,87603.87120275419,86443.083,984.6435683190739,1793.2556333842883,86388.36300291205,85474.03846153847,93713.525,0.02059363642831578
